geo_value,signal,time_value,value,region
1 NENC,pct_ed_visits_influenza,1/4/25,4.43,1 NENC
1 NENC,pct_ed_visits_influenza,1/11/25,4.94,1 NENC
1 NENC,pct_ed_visits_influenza,1/18/25,8.06,1 NENC
1 NENC,pct_ed_visits_influenza,1/25/25,13.15,1 NENC
1 NENC,pct_ed_visits_influenza,2/1/25,13.26,1 NENC
1 NENC,pct_ed_visits_influenza,2/8/25,13.26,1 NENC
1 NENC,pct_ed_visits_influenza,2/15/25,10.31,1 NENC
1 NENC,pct_ed_visits_influenza,2/22/25,6.54,1 NENC
1 NENC,pct_ed_visits_influenza,3/1/25,4.32,1 NENC
1 NENC,pct_ed_visits_influenza,3/8/25,3.54,1 NENC
1 NENC,pct_ed_visits_influenza,3/15/25,2.5,1 NENC
1 NENC,pct_ed_visits_influenza,3/22/25,1.76,1 NENC
1 NENC,pct_ed_visits_influenza,3/29/25,1.03,1 NENC
1 NENC,pct_ed_visits_influenza,4/5/25,0.68,1 NENC
1 NENC,pct_ed_visits_influenza,4/12/25,0.4,1 NENC
1 NENC,pct_ed_visits_influenza,4/19/25,0.42,1 NENC
1 NENC,pct_ed_visits_influenza,4/26/25,0.32,1 NENC
1 NENC,pct_ed_visits_influenza,5/3/25,0.2,1 NENC
1 NENC,pct_ed_visits_influenza,5/10/25,0.3,1 NENC
1 NENC,pct_ed_visits_influenza,5/17/25,0.27,1 NENC
1 NENC,pct_ed_visits_influenza,5/24/25,0.27,1 NENC
1 NENC,pct_ed_visits_influenza,5/31/25,0.19,1 NENC
1 NENC,pct_ed_visits_influenza,6/7/25,0.18,1 NENC
1 NENC,pct_ed_visits_influenza,6/14/25,0.19,1 NENC
1 NENC,pct_ed_visits_influenza,6/21/25,0.16,1 NENC
1 NENC,pct_ed_visits_influenza,6/28/25,0.13,1 NENC
1 NENC,pct_ed_visits_influenza,7/5/25,0.11,1 NENC
1 NENC,pct_ed_visits_influenza,7/12/25,0.07,1 NENC
1 NENC,pct_ed_visits_influenza,7/19/25,0.08,1 NENC
1 NENC,pct_ed_visits_influenza,7/26/25,0.11,1 NENC
1 NENC,pct_ed_visits_influenza,8/2/25,0.09,1 NENC
1 NENC,pct_ed_visits_influenza,8/9/25,0.1,1 NENC
1 NENC,pct_ed_visits_influenza,8/16/25,0.05,1 NENC
1 NENC,pct_ed_visits_influenza,8/23/25,0.07,1 NENC
1 NENC,pct_ed_visits_influenza,8/30/25,0.06,1 NENC
1 NENC,pct_ed_visits_influenza,9/6/25,0.15,1 NENC
1 NENC,pct_ed_visits_influenza,9/13/25,0.2,1 NENC
1 NENC,pct_ed_visits_influenza,9/20/25,0.09,1 NENC
1 NENC,pct_ed_visits_influenza,9/27/25,0.11,1 NENC
1 NENC,pct_ed_visits_influenza,10/4/25,0.07,1 NENC
1 NENC,pct_ed_visits_influenza,10/11/25,0.11,1 NENC
1 NENC,pct_ed_visits_influenza,10/18/25,0.1,1 NENC
1 NENC,pct_ed_visits_influenza,10/25/25,0.2,1 NENC
1 NENC,pct_ed_visits_influenza,11/1/25,0.16,1 NENC
1 NENC,pct_ed_visits_influenza,11/8/25,0.25,1 NENC
1 NENC,pct_ed_visits_influenza,11/15/25,0.8,1 NENC
1 NENC,pct_ed_visits_influenza,11/22/25,1.53,1 NENC
1 NENC,pct_ed_visits_influenza,11/29/25,2.57,1 NENC
2 SENC,pct_ed_visits_influenza,1/4/25,4,2 SENC
2 SENC,pct_ed_visits_influenza,1/11/25,4.22,2 SENC
2 SENC,pct_ed_visits_influenza,1/18/25,6.15,2 SENC
2 SENC,pct_ed_visits_influenza,1/25/25,9.43,2 SENC
2 SENC,pct_ed_visits_influenza,2/1/25,9.02,2 SENC
2 SENC,pct_ed_visits_influenza,2/8/25,8.5,2 SENC
2 SENC,pct_ed_visits_influenza,2/15/25,6.32,2 SENC
2 SENC,pct_ed_visits_influenza,2/22/25,5.24,2 SENC
2 SENC,pct_ed_visits_influenza,3/1/25,4.64,2 SENC
2 SENC,pct_ed_visits_influenza,3/8/25,3.94,2 SENC
2 SENC,pct_ed_visits_influenza,3/15/25,3.22,2 SENC
2 SENC,pct_ed_visits_influenza,3/22/25,2.36,2 SENC
2 SENC,pct_ed_visits_influenza,3/29/25,1.38,2 SENC
2 SENC,pct_ed_visits_influenza,4/5/25,0.78,2 SENC
2 SENC,pct_ed_visits_influenza,4/12/25,0.36,2 SENC
2 SENC,pct_ed_visits_influenza,4/19/25,0.31,2 SENC
2 SENC,pct_ed_visits_influenza,4/26/25,0.28,2 SENC
2 SENC,pct_ed_visits_influenza,5/3/25,0.23,2 SENC
2 SENC,pct_ed_visits_influenza,5/10/25,0.15,2 SENC
2 SENC,pct_ed_visits_influenza,5/17/25,0.19,2 SENC
2 SENC,pct_ed_visits_influenza,5/24/25,0.09,2 SENC
2 SENC,pct_ed_visits_influenza,5/31/25,0.15,2 SENC
2 SENC,pct_ed_visits_influenza,6/7/25,0.15,2 SENC
2 SENC,pct_ed_visits_influenza,6/14/25,0.24,2 SENC
2 SENC,pct_ed_visits_influenza,6/21/25,0.1,2 SENC
2 SENC,pct_ed_visits_influenza,6/28/25,0.06,2 SENC
2 SENC,pct_ed_visits_influenza,7/5/25,0.03,2 SENC
2 SENC,pct_ed_visits_influenza,7/12/25,0.03,2 SENC
2 SENC,pct_ed_visits_influenza,7/19/25,0.06,2 SENC
2 SENC,pct_ed_visits_influenza,7/26/25,0.03,2 SENC
2 SENC,pct_ed_visits_influenza,8/2/25,0.1,2 SENC
2 SENC,pct_ed_visits_influenza,8/9/25,0.03,2 SENC
2 SENC,pct_ed_visits_influenza,8/16/25,0.04,2 SENC
2 SENC,pct_ed_visits_influenza,8/23/25,0.04,2 SENC
2 SENC,pct_ed_visits_influenza,8/30/25,0.1,2 SENC
2 SENC,pct_ed_visits_influenza,9/6/25,0.12,2 SENC
2 SENC,pct_ed_visits_influenza,9/13/25,0.1,2 SENC
2 SENC,pct_ed_visits_influenza,9/20/25,0.08,2 SENC
2 SENC,pct_ed_visits_influenza,9/27/25,0.08,2 SENC
2 SENC,pct_ed_visits_influenza,10/4/25,0.07,2 SENC
2 SENC,pct_ed_visits_influenza,10/11/25,0.1,2 SENC
2 SENC,pct_ed_visits_influenza,10/18/25,0.07,2 SENC
2 SENC,pct_ed_visits_influenza,10/25/25,0.11,2 SENC
2 SENC,pct_ed_visits_influenza,11/1/25,0.12,2 SENC
2 SENC,pct_ed_visits_influenza,11/8/25,0.22,2 SENC
2 SENC,pct_ed_visits_influenza,11/15/25,0.12,2 SENC
